Mean_Intensity,Std_Intensity,Entropy
0.4777963,0.24154584,832.6052
0.46279413,0.24095954,809.52985
0.46718636,0.25559604,813.7627
0.47453845,0.24293904,826.9291
0.46523997,0.24833328,811.9622
0.47271568,0.24306956,824.4614
0.46710232,0.2403827,816.25946
0.46785927,0.2484904,816.42346
0.5840666,0.19590534,997.6652
0.5829454,0.17975573,997.67316
0.5798335,0.19350721,991.9389
0.5957576,0.2014501,1014.28076
0.5902873,0.20788166,1005.65234
0.6023855,0.20165755,1023.9507
0.6045566,0.20396605,1026.8126
0.59792817,0.21259548,1016.1235
0.58923846,0.20263405,1004.4051
0.58521414,0.20331599,998.67847
0.38922095,0.1950043,702.0225
0.38581926,0.23176503,691.24915
0.38412604,0.22765893,689.7016
0.36223128,0.2332271,654.038
0.3984469,0.21738046,713.2262
0.36327258,0.24103473,654.37396
0.38284796,0.24009371,686.36584
0.3788338,0.2124199,683.68115
0.38351554,0.20069255,691.9406
0.41117656,0.1977268,736.28766
0.4003988,0.19995838,717.02563
0.40446216,0.2001924,723.50287
0.39924014,0.19639696,715.8437
0.38565105,0.18462831,694.704
0.4026161,0.2039224,719.6541
0.40113693,0.17935202,721.1832
0.40211034,0.17688066,723.43164
0.375374,0.19319542,677.9229
0.39559075,0.19538917,709.80115
0.40749902,0.19735633,728.8064
0.4861351,0.21789311,848.89233
0.48337132,0.22822516,843.35754
0.45169643,0.21484156,796.8167
0.44336838,0.19574231,786.4764
0.49121708,0.19769499,859.1728
0.47180086,0.21774858,827.08307
0.4884502,0.2269289,851.2112
0.45340618,0.2200434,798.8246
0.4664149,0.21307138,819.60693
0.46555278,0.21040513,818.63007
0.6241976,0.20822607,1052.8533
0.6325216,0.2120352,1064.4761
0.63098073,0.22746077,1060.0657
0.6268859,0.18343508,1059.895
0.63552165,0.21028447,1068.8301
0.61170375,0.20921761,1034.7523
0.64155716,0.25490522,1070.6306
0.6481609,0.24321216,1082.065
0.6403707,0.2316365,1072.7618
0.630307,0.22455502,1059.3824
0.49566296,0.23859651,858.31616
0.5028438,0.23937082,869.24164
0.5063395,0.23204924,875.9843
0.4921803,0.23417065,854.0744
0.5017543,0.21478252,872.30756
0.5011533,0.23248225,868.14716
0.4950731,0.2477193,855.86914
0.5018952,0.24938826,865.92566
0.50327295,0.24650165,868.466
0.5080075,0.23425943,878.40674
0.28311267,0.26427028,512.475
0.27769637,0.2582723,504.00336
0.2842295,0.263459,514.1758
0.2578161,0.24234273,472.4511
0.27624342,0.2527578,503.01096
0.2517199,0.24484366,460.88138
0.26126668,0.25076088,476.40457
0.2483352,0.23276725,457.39798
0.26418582,0.22423318,487.37573
0.28688264,0.24616814,522.51245
0.48852047,0.22841907,851.2248
0.4818821,0.22751437,841.29565
0.4812385,0.2304247,839.8445
0.5063606,0.2214348,878.9831
0.49092028,0.22390427,855.29926
0.51545227,0.21618384,893.37494
0.5111237,0.21899545,886.5087
0.5084065,0.21915019,882.3961
0.51505905,0.21664403,892.7459
0.5110398,0.2172639,886.58844
0.2508042,0.1298788,483.04846
0.25120056,0.12858918,483.9315
0.25053412,0.1285355,482.88803
0.24811363,0.12932964,478.51794
0.23284869,0.14029951,450.94037
0.23624969,0.13421021,457.66647
0.24741575,0.13254395,476.84384
0.2592299,0.15515089,494.0376
0.24281538,0.1434756,467.772
0.24834448,0.13052174,478.79218
0.25550905,0.18761583,481.82565
0.2671797,0.18718858,502.01523
0.2523579,0.186005,476.85965
0.26247463,0.19206187,492.9821
0.2641358,0.19237798,495.7226
0.27054647,0.19351591,506.34378
0.26236868,0.19353476,492.46933
0.26189733,0.18636017,492.94394
0.2656841,0.19156007,498.50278
0.272566,0.19281447,509.80844
0.46628994,0.27675086,809.7319
0.4661906,0.25608677,812.6051
0.47406998,0.2644241,823.284
0.48131093,0.2643252,834.4439
0.5067556,0.28373507,870.2166
0.49594197,0.27402636,855.5531
0.48078588,0.24454719,836.7257
0.48515514,0.28749427,837.0188
0.3658847,0.17139897,669.4031
0.37013376,0.17501782,675.8083
0.36947837,0.17890872,674.311
0.34911105,0.2074777,638.012
0.34422657,0.20970054,629.7764
0.34666845,0.21758011,632.61945
0.35551068,0.2002817,649.42004
0.3649797,0.18181132,666.89465
0.36138687,0.16852164,662.6684
0.4006554,0.19021577,719.8915
0.39838675,0.18945979,716.8677
0.41155353,0.20319365,735.8114
0.41684544,0.18959323,745.84296
0.40911523,0.18641931,733.9327
0.4163003,0.20632684,742.6862
0.40955654,0.1918975,733.9554
0.42067683,0.15340608,756.44275
0.4219105,0.15699066,757.9839
0.41722262,0.15382552,751.0465
0.41906372,0.15891403,753.27814
0.41828457,0.14453503,753.76385
0.41608992,0.15265898,749.45844
0.42328325,0.14697953,761.31696
0.42470983,0.15273516,762.8545
0.37200785,0.22115609,670.16376
0.38226232,0.22118877,686.46826
0.36294466,0.21872118,656.19684
0.37116072,0.21955156,669.199
0.3727411,0.22121875,671.52185
0.37468684,0.2204945,674.8394
0.37386093,0.21947405,673.5963
0.3754412,0.22169825,675.19574
0.3331838,0.20919219,607.6246
0.32828614,0.20716898,599.8796
0.34151536,0.21210025,620.89404
0.35097122,0.20845956,636.7538
0.3483376,0.20309095,633.43555
0.36415395,0.20536993,658.6644
0.34154743,0.20934053,621.2162
0.34278414,0.21555638,622.3832
0.3394657,0.19883934,619.53986
0.5107977,0.2097469,886.86304
0.4914846,0.21456717,856.6766
0.52604485,0.21047108,909.493
0.49993104,0.21473575,869.6868
0.536912,0.20422198,926.3729
0.5351779,0.20787184,923.4091
0.5078896,0.21447904,881.6886
0.5326839,0.20286095,920.2956
0.34814513,0.2009585,634.2501
0.3810558,0.20363231,686.62604
0.35189083,0.20288056,639.8111
0.34865966,0.2043105,633.82275
0.39961156,0.19238448,717.76385
0.3828725,0.20430808,689.1519
